math_density,loop_density,graph_density,instr_variance,opcode_entropy,call_density,mem_density,label
0.09984512859020087,0.007931293410925473,0.16438160848621888,0.0026046555284400226,3.5801042713355953,0.06478787309930542,0.44638164069832925,1
0.08330579083688146,0.02124120530284865,0.21026503530556007,0.00042771876842917045,3.513774767996851,0.09254710846991171,0.49110323359709324,1
0.0676716368998853,0.01753236113386859,0.2045367931028692,0.011305915123709652,4.233606889881138,0.06078977552023595,0.4596100278551532,1
0.09976274655749907,0.007885187941942687,0.16354591749627054,0.0030935988090807593,3.6313274641311293,0.06445385187941943,0.44436174171938964,1
0.07900432900432901,0.012987012987012988,0.17667410985791998,0.03896103896103896,3.68903143665145,0.11471861471861472,0.2824675324675325,1
0.13063811217278595,0.011561183083546644,0.1917995334018736,0.0008923279337723326,4.268807388720521,0.052836235027453736,0.38291289706964715,1
0.10685379714138109,0.025830893748923712,0.23790903996925242,0.006457723437230928,4.129726692235414,0.06711727225762011,0.3297313587050112,1
0.0902994088106287,0.02050092174686924,0.17807700295382364,0.0021931218612929885,3.8722883363873537,0.09360498378996886,0.35356938529019133,1
0.08125346166980907,0.022375659690236156,0.2101440005092236,0.0003415035915272672,3.7179058731503933,0.06918317506507221,0.4613828312656582,1
0.08308908099283939,0.023837791711497792,0.2071603534550275,0.0019107334990539086,4.1810505065316015,0.07177308648387934,0.3365488071828739,1
0.17489489303820946,0.0,0.16920434643940482,0.0036632867565228144,4.3214776930404835,0.0,0.2667552862619018,1
0.12390725959711137,0.017863930064614217,0.05328030504932927,0.04180919802356518,5.260503134461666,0.007221588749524895,0.08855948308627898,1
0.1313251228965589,0.04576511857667985,0.1858545229556358,0.00018879471374801506,4.0167092600562695,0.05480886535177015,0.3532413092433412,1
0.08054558020003012,0.012982311625341934,0.19956122229587817,0.00020244348286560247,3.8145749853092177,0.07826484992754917,0.407874752305911,1
0.06862745098039216,0.008823529411764706,0.164859447560684,0.03431372549019608,3.5156828734569694,0.1264705882352941,0.3323529411764706,1
0.09156442169064642,0.05741312854915115,0.15756718162745778,0.0005090181540000589,3.904797548529135,0.05993173860593756,0.36152058139877014,1
0.11147584714678443,0.0,0.1902018916305948,0.0005779790000963298,4.553497663805357,0.0,0.3242400440647238,1
0.061394822464280664,0.029990097609279953,0.17490275923395168,0.009053614372612817,3.960759350596871,0.0635167633328618,0.5534021785259584,1
0.21551379448220712,0.07796881247501,0.14633990788559706,0.018392642942822873,3.2277211109783557,0.0023990403838464614,0.23310675729708116,1
